Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","","CAP CER 4.7UF 6.3V X5R 0603","C1, C16, C17, C19","","Unknown server","","4","","","","","","",""
"","100n, 0603YC104KAZ2A","","C2, C3, C4, C5, C6, C11, C12, C13, C18, C20, C21, C22, C23, C24, C25","","Unknown server","","15","","","","","","",""
"","","Multilayer Ceramic Capacitors 8pF ±0.5pF 50V C0G SMD 0603","C7, C8","","Unknown server","","2","","","","","","",""
"","C1608X5R0J226M080AC","Chip Capacitor, 22 uF, +/- 20%, 6.3 V, -55 to 85 degC, 1608 (0603 Metric), RoHS, Tape and Reel","C9, C10","","Unknown server","","2","","","","","","",""
"","","CAP CER 47PF 100V 5% NP0 0603","C14, C15","","Unknown server","","2","","","","","","",""
"","LTST-C190GKT","LED GREEN CLEAR CHIP SMD","D1, D2, D3","","Unknown server","","3","","","","","","",""
"","BLM18PG121SN1D","Chip Ferrite Bead, 0603, 120O @ 100MHz, 0.05O, 25%, 2A","FB1","","Unknown server","","1","","","","","","",""
"","MICROQTJ","","J1","","Not managed","","1","","","","","","",""
"","RC0603FR-071KL","RES 1K OHM 1% 1/10W 0603","R1, R2, R4, R7, R8, R9, R10","","Unknown server","","7","","","","","","",""
"","27r","RES Thick Film, 27O, 5%, 0.1W, 200ppm/°C, 0603","R5, R6","","Unknown server","","2","","","","","","",""
"","PTS645SM43SMTR92LFS","SWITCH TACTILE SPST-NO 0.05A 12V","SW1, SW2","","Unknown server","","2","","","","","","",""
"","STM32F401RCT6","ARM Cortex-M4 32-bit MCU+FPU, 105 DMIPS, 256 kB Flash, 64 kB Internal RAM, 48 I/Os, 64-pin LQFP, -40 to 85 degC, Tray","U1","","Unknown server","","1","","","","","","",""
"","AMS1117-3.3","LDO Voltage Regulators 1A, 3.3V","U2","","Unknown server","","1","","","","","","",""
"","FT230XS-R","IC USB SERIAL BASIC UART 16SSOP","U3","","Unknown server","","1","","","","","","",""
"","BMP280","SENSOR PRESSURE ABS","U4","","Unknown server","","1","","","","","","",""
"","LIS2DH12TR","ACCEL 2-16G I2C/SPI 12LGA","U5","","Unknown server","","1","","","","","","",""
"","24AA128-I/MF","128Kbit, 400kHz, 1.7V, I2C Serial EEPROM, 8-Pin DFN Punch Singulated, Industrial Temperature","U6","","Unknown server","","1","","","","","","",""
"","NX2520SA-16MHZ-STD-CSW-5","CRYSTAL 16.0000MHZ 8PF SMD","Y1","","Unknown server","","1","","","","","","",""
